Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,Daily_Return,Cumulative_Return,Volatility_30,Daily_Range,Year,Month,Month_Name,Quarter,Day_of_Week,Week_Number,Trend,RSI_Signal,MACD_Signal_Flag
2020-02-17,12045.7998046875,12159.599609375,12037.0,12131.7998046875,0,12084.7525390625,,,12106.182033861742,12139.024924164436,12084.7525390625,114.36513018911971,12313.482799440739,11856.02227868426,457.4605207564782,49.631513113671005,-18.098102673660833,-27.25503321875914,9.156930545098309,-0.558473346026378,0.9887789702185512,0.8558558232267398,122.599609375,2020,2,February,1,Monday,8,Downtrend,Neutral,Bullish
2020-02-18,11992.5,12030.75,11908.0498046875,12028.25,676900,12075.88505859375,,,12095.355173493957,12133.278848707008,12075.88505859375,114.29524382302847,12304.475546239808,11847.294570947694,457.18097529211445,44.87467265245043,-25.08192915568543,-26.8204124061444,1.7384832504589696,-0.44247626186481037,0.9844038579930228,0.8548675815469027,122.7001953125,2020,2,February,1,Tuesday,8,Downtrend,Neutral,Bullish
2020-02-19,12125.900390625,12134.7001953125,12042.099609375,12090.599609375,513600,12076.83505859375,,,12098.264241792152,12132.989497409675,12076.83505859375,114.64503227191327,12306.125123137575,11847.544994049924,458.5801290876516,53.2735275813938,-19.626127527293647,-25.381555430374252,5.755427903080605,1.112365150093808,0.995354023445516,0.8779600299669882,92.6005859375,2020,2,February,1,Wednesday,8,Downtrend,Neutral,Bullish
2020-02-20,12080.849609375,12152.0,12071.4501953125,12119.0,502600,12071.86005859375,,,12096.60570537147,12130.94479591812,12071.86005859375,112.0460494999743,12295.952157593698,11847.7679595938,448.18419799989715,54.40614192994814,-18.72177401470799,-24.049599147241,5.327825132533011,-0.3715252459506435,0.9916560319618305,0.829963880426642,80.5498046875,2020,2,February,1,Thursday,8,Downtrend,Neutral,Bullish
2020-02-24,11829.400390625,12012.5498046875,11813.400390625,12012.5498046875,490800,12050.917578125,,,12071.15758015752,12119.11952512231,12050.917578125,116.4007497626867,12283.719077650374,11818.116078599625,465.6029990507486,54.517397732587014,-37.858508524623176,-26.811381022717438,-11.047127501905738,-2.081386879900149,0.9710158334188386,0.9066587528385635,199.1494140625,2020,2,February,1,Monday,9,Downtrend,Neutral,Bearish
2020-02-25,11797.900390625,11883.0498046875,11779.900390625,11877.5,461000,12034.86259765625,,,12045.133085916328,12106.522696318494,12034.86259765625,128.0749758634411,12291.012549383133,11778.712645929369,512.2999034537643,41.77267342139232,-54.93306110618505,-32.43571703941096,-22.49734406677409,-0.2662856861702312,0.9684301572439976,0.897051538732745,103.1494140625,2020,2,February,1,Tuesday,9,Downtrend,Neutral,Bearish
2020-02-26,11678.5,11783.25,11639.599609375,11738.5498046875,567600,12015.997607421876,,,12010.215649162392,12089.737492541299,12015.997607421876,150.63007434478186,12317.25775611144,11714.737458732312,602.5202973791274,31.576115625859842,-77.2093592628953,-41.39044548410783,-35.818913778787476,-1.0120477938589723,0.9586291812025448,0.9072579465516822,143.650390625,2020,2,February,1,Wednesday,9,Downtrend,Neutral,Bearish
2020-02-27,11633.2998046875,11663.849609375,11536.7001953125,11661.25,608600,11991.18759765625,,,11974.318902069544,12071.837975370561,11991.18759765625,170.50436790986709,12332.196333475984,11650.178861836515,682.0174716394686,27.285426439457353,-97.38813426230627,-52.58998323974752,-44.79815102255875,-0.3870376787472707,0.9549189250718245,0.9079757112512237,127.1494140625,2020,2,February,1,Thursday,9,Downtrend,Oversold,Bearish
2020-02-28,11201.75,11384.7998046875,11175.0498046875,11382.0,809900,11949.485107421875,,,11900.740911396255,12037.716878297206,11949.485107421875,244.82029583399225,12439.12569908986,11459.84451575389,979.2811833359701,20.16904633795751,-146.5135049718192,-71.37468758616185,-75.13881738565735,-3.709607866493836,0.9194951775087218,1.1095795783933755,209.75,2020,2,February,1,Friday,9,Downtrend,Oversold,Bearish
2020-03-02,11132.75,11433.0,11036.25,11387.349609375,680800,11908.017626953126,,,11827.598919834707,12002.227981109081,11908.017626953126,305.33059211115244,12518.67881117543,11297.356442730821,1221.3223684446093,20.140227244706594,-188.8366472089383,-94.86707951071715,-93.96956769822116,-0.6159751824491688,0.9138313154114511,1.109408083548266,396.75,2020,3,March,1,Monday,10,Downtrend,Oversold,Bearish
