Date,Close,High,Low,Open,Volume,Daily_Return,Daily_Range,Cumulative_Return,SMA_20,SMA_50
2021-04-28,14864.5498046875,14890.25,14694.9501953125,14710.5,457000,1.4433855260107098,195.2998046875,1.2157499666535947,14609.014892578125,14798.81296875
2021-04-29,14894.900390625,15044.349609375,14814.4501953125,14979.0,517500,0.20418099664161193,229.8994140625,1.2182322970521782,14628.394921875,14793.24498046875
2021-04-30,14631.099609375,14855.4501953125,14601.7001953125,14747.349609375,613900,-1.7710812045177438,253.75,1.1966564138117224,14617.694921875,14782.6009765625
2021-05-03,14634.150390625,14673.849609375,14416.25,14481.0498046875,448900,0.02085134632017205,257.599609375,1.1969059327848288,14614.867431640625,14768.98998046875
2021-05-04,14496.5,14723.400390625,14461.5,14687.25,503400,-0.940610742344028,261.900390625,1.1856477070053018,14596.324951171875,14752.6509765625
2021-05-05,14617.849609375,14637.900390625,14506.599609375,14604.150390625,455900,0.8370959153933599,131.30078125,1.1955727155315983,14595.32744140625,14740.8299609375
2021-05-06,14724.7998046875,14743.900390625,14611.5,14668.349609375,467800,0.73164109749706,132.400390625,1.204320016868889,14597.392431640625,14732.946953125
2021-05-07,14823.150390625,14863.0498046875,14765.5,14816.849609375,488000,0.6679247748155426,97.5498046875,1.212363968629619,14597.5974609375,14729.7749609375
2021-05-10,14942.349609375,14966.900390625,14892.5,14928.25,522000,0.8041422748121585,74.400390625,1.2221130998259602,14601.024951171876,14735.10794921875
2021-05-11,14850.75,14900.0,14771.400390625,14789.7001953125,647400,-0.6130201191218876,128.599609375,1.2146213006456028,14601.819970703125,14737.966953125
2021-05-12,14696.5,14824.0498046875,14649.7001953125,14823.5498046875,643800,-1.03866808073666,174.349609375,1.2020054168939684,14621.10498046875,14732.256953125
2021-05-14,14677.7998046875,14749.650390625,14591.900390625,14749.400390625,620700,-0.12724250884564858,157.75,1.200475955045052,14629.75498046875,14723.86595703125
2021-05-17,14923.150390625,14938.0,14725.349609375,14756.25,546400,1.6715760481972541,212.650390625,1.2205428235739522,14646.839990234375,14731.74595703125
2021-05-18,15108.099609375,15137.25,15043.7001953125,15067.2001953125,583900,1.2393443335275034,93.5498046875,1.2356695518961924,14671.352490234374,14738.676953125
2021-05-19,15030.150390625,15133.400390625,15008.849609375,15058.599609375,569100,-0.5159432408138875,124.55078125,1.2292941983643888,14704.8875,14740.89796875
2021-05-20,14906.0498046875,15069.7998046875,14884.900390625,15042.599609375,480300,-0.8256776060930671,184.8994140625,1.2191441914554928,14735.369970703125,14734.10697265625
2021-05-21,15175.2998046875,15190.0,14985.849609375,14987.7998046875,572900,1.806313567497475,204.150390625,1.2411657583931108,14773.82744140625,14735.99796875
2021-05-24,15197.7001953125,15256.25,15145.4501953125,15211.349609375,579800,0.1476108604989923,110.7998046875,1.2429978538492938,14816.644970703124,14741.18998046875
2021-05-25,15208.4501953125,15293.849609375,15163.400390625,15291.75,441500,0.07073438653115716,130.44921875,1.2438770807558095,14852.81748046875,14746.23498046875
2021-05-26,15301.4501953125,15319.900390625,15194.9501953125,15257.0498046875,384000,0.6115021504864648,124.9501953125,1.2514834158540395,14885.2375,14750.2959765625
2021-05-27,15337.849609375,15384.5498046875,15272.5,15323.9501953125,0,0.2378821196545866,112.0498046875,1.2544604711307987,14908.902490234375,14753.55697265625
2021-05-28,15435.650390625,15469.650390625,15394.75,15421.2001953125,468100,0.6376433707514062,74.900390625,1.2624594551636612,14935.939990234376,14761.6509765625
2021-05-31,15582.7998046875,15606.349609375,15374.0,15437.75,436000,0.9533088035724946,232.349609375,1.2744945922912698,14983.525,14774.71697265625
2021-06-01,15574.849609375,15660.75,15528.2998046875,15629.650390625,409600,-0.05101904286871628,132.4501953125,1.2738443573488694,15030.5599609375,14788.0049609375
2021-06-02,15576.2001953125,15597.4501953125,15459.849609375,15520.349609375,428600,0.00867158252806366,137.6005859375,1.273954819813596,15084.544970703126,14805.10296875
2021-06-03,15690.349609375,15705.099609375,15611.0,15655.5498046875,410200,0.7328450625387672,94.099609375,1.2832909348095745,15138.169970703126,14827.75296875
2021-06-04,15670.25,15733.599609375,15622.349609375,15712.5,414200,-0.1281017305247989,111.25,1.2816470169144156,15185.44248046875,14846.27796875
2021-06-07,15751.650390625,15773.4501953125,15678.099609375,15725.099609375,394000,0.519458149199914,95.3505859375,1.288304636787755,15231.86748046875,14866.58296875
2021-06-08,15740.099609375,15778.7998046875,15680.0,15773.900390625,378200,-0.07333060957773752,98.7998046875,1.2873599151443804,15271.75498046875,14885.0899609375
2021-06-09,15635.349609375,15800.4501953125,15566.900390625,15766.2998046875,457900,-0.6654976944212576,233.5498046875,1.2787925645901912,15310.9849609375,14906.8089453125
2021-06-10,15737.75,15751.25,15648.5,15692.099609375,298300,0.6549286916079033,102.75,1.287167744001841,15363.0474609375,14935.0659375
2021-06-11,15799.349609375,15835.5498046875,15749.7998046875,15796.4501953125,363000,0.3914130633349666,85.75,1.2922058866988981,15419.124951171874,14960.90693359375
2021-06-14,15811.849609375,15823.0498046875,15606.5,15791.400390625,392900,0.07911718082738162,216.5498046875,1.2932282435669398,15463.559912109375,14980.24193359375
2021-06-15,15869.25,15901.599609375,15842.400390625,15866.9501953125,323300,0.3630213545097627,59.19921875,1.2979229382536392,15501.617431640625,15003.8129296875
2021-06-16,15767.5498046875,15880.849609375,15742.599609375,15847.5,340200,-0.6408632752808119,138.25,1.289605026800926,15538.48740234375,15021.81693359375
2021-06-17,15691.400390625,15769.349609375,15616.75,15648.2998046875,357600,-0.48295020472909345,152.599609375,1.2833768766837943,15577.754931640626,15042.8889453125
2021-06-18,15683.349609375,15761.5,15450.900390625,15756.5,640800,-0.0513069646403852,310.599609375,1.2827184149634712,15603.157421875,15062.8859375
2021-06-21,15746.5,15765.150390625,15505.650390625,15525.849609375,351500,0.40265882096546246,259.5,1.28788339380947,15630.597412109375,15081.43494140625
2021-06-22,15772.75,15895.75,15752.099609375,15840.5,322200,0.16670371193598932,143.650390625,1.2900303432323577,15658.81240234375,15099.4139453125
2021-06-23,15686.9501953125,15862.9501953125,15673.9501953125,15862.7998046875,287500,-0.5439749231269109,189.0,1.2830129016644456,15678.08740234375,15116.45595703125
2021-06-24,15790.4501953125,15821.400390625,15702.7001953125,15737.2998046875,316700,0.6597840798329813,118.7001953125,1.2914780165318307,15700.717431640625,15146.04896484375
2021-06-25,15860.349609375,15870.7998046875,15772.2998046875,15839.349609375,314600,0.44266891189239654,98.5,1.2971949882149416,15721.952392578125,15173.1599609375
2021-06-28,15814.7001953125,15915.650390625,15792.150390625,15915.349609375,255100,-0.28782098242977616,123.5,1.2934613888558315,15733.547412109376,15197.8249609375
2021-06-29,15748.4501953125,15835.900390625,15724.0498046875,15807.5,360300,-0.41891404314852165,111.8505859375,1.2880428974552105,15742.22744140625,15220.43697265625
2021-06-30,15721.5,15839.099609375,15708.75,15776.900390625,262400,-0.17112919035373597,130.349609375,1.2858386800733865,15749.492431640625,15247.67796875
2021-07-01,15680.0,15755.5498046875,15667.0498046875,15755.0498046875,224900,-0.2639697229908089,88.5,1.2824444552714882,15748.974951171875,15275.3499609375
2021-07-02,15722.2001953125,15738.349609375,15635.9501953125,15705.849609375,254800,0.2691338986766656,102.3994140625,1.285895948032323,15751.5724609375,15301.67095703125
2021-07-05,15834.349609375,15845.9501953125,15762.0498046875,15793.400390625,207000,0.7133188273225066,83.900390625,1.2950684859294148,15755.707421875,15331.53095703125
2021-07-06,15818.25,15914.2001953125,15801.0,15813.75,391400,-0.10167521731027085,113.2001953125,1.2937517222320292,15759.61494140625,15358.19595703125
2021-07-07,15879.650390625,15893.5498046875,15779.7001953125,15819.599609375,329300,0.3881617158977724,113.849609375,1.298773571116502,15771.82998046875,15382.72796875
2021-07-08,15727.900390625,15885.75,15682.900390625,15855.400390625,307900,-0.95562557277451,202.849609375,1.286362158738476,15771.3375,15399.99498046875
2021-07-09,15689.7998046875,15730.849609375,15632.75,15688.25,243200,-0.24224839292732447,98.099609375,1.2832459670817067,15765.860009765625,15415.89296875
2021-07-12,15692.599609375,15789.2001953125,15644.75,15766.7998046875,216300,0.017844744498685117,144.4501953125,1.283474959045822,15759.897509765626,15437.12296875
2021-07-13,15812.349609375,15820.7998046875,15744.599609375,15794.0,246700,0.7630985495128417,76.2001953125,1.2932691378416612,15757.052490234375,15460.686953125
2021-07-14,15853.9501953125,15877.349609375,15764.2001953125,15808.7001953125,0,0.26308921169333477,113.1494140625,1.296671589421482,15761.372509765624,15487.83595703125
2021-07-15,15924.2001953125,15952.349609375,15855.0,15872.150390625,284900,0.4431072328003882,97.349609375,1.3024172350198764,15773.0125,15513.96296875
2021-07-16,15923.400390625,15962.25,15882.599609375,15958.349609375,276300,-0.0050225736783704455,79.650390625,1.3023518201546478,15785.0150390625,15537.93498046875
2021-07-19,15752.400390625,15836.900390625,15707.5,15754.5,242100,-1.0738912280361723,129.400390625,1.2883659781998376,15785.31005859375,15556.51998046875
2021-07-20,15632.099609375,15728.4501953125,15578.5498046875,15703.9501953125,274300,-0.76369809214345,149.900390625,1.2785267518045,15778.2775390625,15570.31498046875
2021-07-22,15824.0498046875,15834.7998046875,15726.400390625,15736.599609375,265300,1.2279233123449584,108.3994140625,1.2942260798444742,15785.13251953125,15589.7809765625
2021-07-23,15856.0498046875,15899.7998046875,15768.400390625,15856.7998046875,294100,0.2022238326785386,131.3994140625,1.296843313426661,15788.4125,15612.97197265625
2021-07-26,15824.4501953125,15893.349609375,15797.0,15849.2998046875,267100,-0.19929055322251976,96.349609375,1.2942588272129039,15786.617529296875,15635.90498046875
2021-07-27,15746.4501953125,15881.5498046875,15701.0,15860.5,311000,-0.4929081202650898,180.5498046875,1.2878793203563237,15783.205029296874,15652.3709765625
2021-07-28,15709.400390625,15767.5,15513.4501953125,15761.5498046875,318600,-0.2352898858342667,254.0498046875,1.284849070573774,15781.2525390625,15664.3969921875
